A | epoch   1 |    10/   53 batches | lr 0.001000 | 32.54 ms | loss 0.09287 | ppl     1.10
A | epoch   1 |    20/   53 batches | lr 0.001000 |  8.32 ms | loss 0.03236 | ppl     1.03
A | epoch   1 |    30/   53 batches | lr 0.001000 |  6.64 ms | loss 0.05848 | ppl     1.06
A | epoch   1 |    40/   53 batches | lr 0.001000 |  8.20 ms | loss 0.05362 | ppl     1.06
A | epoch   1 |    50/   53 batches | lr 0.001000 |  6.82 ms | loss 0.05515 | ppl     1.06
B | epoch   1 |    10/   53 batches | lr 0.001000 |  9.05 ms | loss 0.08840 | ppl     1.09
B | epoch   1 |    20/   53 batches | lr 0.001000 |  7.28 ms | loss 0.03341 | ppl     1.03
B | epoch   1 |    30/   53 batches | lr 0.001000 |  7.12 ms | loss 0.06359 | ppl     1.07
B | epoch   1 |    40/   53 batches | lr 0.001000 |  7.85 ms | loss 0.06690 | ppl     1.07
B | epoch   1 |    50/   53 batches | lr 0.001000 |  7.88 ms | loss 0.06682 | ppl     1.07
C | epoch   1 |    10/   53 batches | lr 0.001000 |  8.04 ms | loss 0.08986 | ppl     1.09
C | epoch   1 |    20/   53 batches | lr 0.001000 |  9.09 ms | loss 0.03777 | ppl     1.04
C | epoch   1 |    30/   53 batches | lr 0.001000 |  7.51 ms | loss 0.03253 | ppl     1.03
C | epoch   1 |    40/   53 batches | lr 0.001000 |  7.34 ms | loss 0.02470 | ppl     1.03
C | epoch   1 |    50/   53 batches | lr 0.001000 |  7.57 ms | loss 0.03745 | ppl     1.04
D | epoch   1 |    10/   53 batches | lr 0.001000 |  9.97 ms | loss 0.13513 | ppl     1.14
D | epoch   1 |    20/   53 batches | lr 0.001000 |  8.33 ms | loss 0.03967 | ppl     1.04
D | epoch   1 |    30/   53 batches | lr 0.001000 |  8.26 ms | loss 0.07092 | ppl     1.07
D | epoch   1 |    40/   53 batches | lr 0.001000 |  7.51 ms | loss 0.07076 | ppl     1.07
D | epoch   1 |    50/   53 batches | lr 0.001000 |  7.53 ms | loss 0.07104 | ppl     1.07
E | epoch   1 |    10/   53 batches | lr 0.001000 |  9.95 ms | loss 0.13352 | ppl     1.14
E | epoch   1 |    20/   53 batches | lr 0.001000 |  7.55 ms | loss 0.03248 | ppl     1.03
E | epoch   1 |    30/   53 batches | lr 0.001000 |  6.69 ms | loss 0.06341 | ppl     1.07
E | epoch   1 |    40/   53 batches | lr 0.001000 |  8.32 ms | loss 0.05359 | ppl     1.06
E | epoch   1 |    50/   53 batches | lr 0.001000 |  7.40 ms | loss 0.05653 | ppl     1.06
G | epoch   1 |    10/   53 batches | lr 0.001000 | 10.01 ms | loss 0.10633 | ppl     1.11
G | epoch   1 |    20/   53 batches | lr 0.001000 |  8.33 ms | loss 0.02874 | ppl     1.03
G | epoch   1 |    30/   53 batches | lr 0.001000 |  8.35 ms | loss 0.04371 | ppl     1.04
G | epoch   1 |    40/   53 batches | lr 0.001000 |  8.01 ms | loss 0.04554 | ppl     1.05
G | epoch   1 |    50/   53 batches | lr 0.001000 |  7.75 ms | loss 0.05462 | ppl     1.06
H | epoch   1 |    10/   53 batches | lr 0.001000 |  8.81 ms | loss 0.05524 | ppl     1.06
H | epoch   1 |    20/   53 batches | lr 0.001000 |  8.21 ms | loss 0.02804 | ppl     1.03
H | epoch   1 |    30/   53 batches | lr 0.001000 |  7.06 ms | loss 0.03613 | ppl     1.04
H | epoch   1 |    40/   53 batches | lr 0.001000 |  8.06 ms | loss 0.02936 | ppl     1.03
H | epoch   1 |    50/   53 batches | lr 0.001000 |  6.18 ms | loss 0.02878 | ppl     1.03
I | epoch   1 |    30/  150 batches | lr 0.001000 |  8.34 ms | loss 0.02535 | ppl     1.03
I | epoch   1 |    60/  150 batches | lr 0.001000 |  7.22 ms | loss 0.02302 | ppl     1.02
I | epoch   1 |    90/  150 batches | lr 0.001000 |  7.22 ms | loss 0.01770 | ppl     1.02
I | epoch   1 |   120/  150 batches | lr 0.001000 |  7.27 ms | loss 0.02505 | ppl     1.03
I | epoch   1 |   150/  150 batches | lr 0.001000 |  7.18 ms | loss 0.01886 | ppl     1.02
-----------------------------------------------------------------------------------------
| end of epoch   1 | time:  4.49s | valid loss(mse) 0.12218 | valid ppl     1.13
-----------------------------------------------------------------------------------------
A | epoch   2 |    10/   53 batches | lr 0.001000 |  7.40 ms | loss 0.06770 | ppl     1.07
A | epoch   2 |    20/   53 batches | lr 0.001000 |  7.61 ms | loss 0.03310 | ppl     1.03
A | epoch   2 |    30/   53 batches | lr 0.001000 |  7.52 ms | loss 0.05586 | ppl     1.06
A | epoch   2 |    40/   53 batches | lr 0.001000 |  7.72 ms | loss 0.04745 | ppl     1.05
A | epoch   2 |    50/   53 batches | lr 0.001000 |  7.15 ms | loss 0.03479 | ppl     1.04
B | epoch   2 |    10/   53 batches | lr 0.001000 |  7.58 ms | loss 0.06691 | ppl     1.07
B | epoch   2 |    20/   53 batches | lr 0.001000 |  8.43 ms | loss 0.03378 | ppl     1.03
B | epoch   2 |    30/   53 batches | lr 0.001000 |  7.39 ms | loss 0.06185 | ppl     1.06
B | epoch   2 |    40/   53 batches | lr 0.001000 |  7.01 ms | loss 0.06054 | ppl     1.06
B | epoch   2 |    50/   53 batches | lr 0.001000 |  7.27 ms | loss 0.06171 | ppl     1.06
C | epoch   2 |    10/   53 batches | lr 0.001000 |  8.57 ms | loss 0.04664 | ppl     1.05
C | epoch   2 |    20/   53 batches | lr 0.001000 |  7.09 ms | loss 0.02746 | ppl     1.03
C | epoch   2 |    30/   53 batches | lr 0.001000 |  6.66 ms | loss 0.03033 | ppl     1.03
C | epoch   2 |    40/   53 batches | lr 0.001000 |  7.70 ms | loss 0.02470 | ppl     1.03
C | epoch   2 |    50/   53 batches | lr 0.001000 |  7.32 ms | loss 0.03761 | ppl     1.04
D | epoch   2 |    10/   53 batches | lr 0.001000 |  8.31 ms | loss 0.08313 | ppl     1.09
D | epoch   2 |    20/   53 batches | lr 0.001000 |  5.95 ms | loss 0.04331 | ppl     1.04
D | epoch   2 |    30/   53 batches | lr 0.001000 |  8.74 ms | loss 0.07038 | ppl     1.07
D | epoch   2 |    40/   53 batches | lr 0.001000 |  6.26 ms | loss 0.06228 | ppl     1.06
D | epoch   2 |    50/   53 batches | lr 0.001000 |  8.20 ms | loss 0.06416 | ppl     1.07
E | epoch   2 |    10/   53 batches | lr 0.001000 |  7.84 ms | loss 0.06453 | ppl     1.07
E | epoch   2 |    20/   53 batches | lr 0.001000 |  6.66 ms | loss 0.03294 | ppl     1.03
E | epoch   2 |    30/   53 batches | lr 0.001000 |  7.41 ms | loss 0.06314 | ppl     1.07
E | epoch   2 |    40/   53 batches | lr 0.001000 |  7.50 ms | loss 0.05253 | ppl     1.05
E | epoch   2 |    50/   53 batches | lr 0.001000 |  6.86 ms | loss 0.05432 | ppl     1.06
G | epoch   2 |    10/   53 batches | lr 0.001000 |  7.64 ms | loss 0.04958 | ppl     1.05
G | epoch   2 |    20/   53 batches | lr 0.001000 |  7.38 ms | loss 0.02709 | ppl     1.03
G | epoch   2 |    30/   53 batches | lr 0.001000 |  7.65 ms | loss 0.04528 | ppl     1.05
